aren’t,are not
can’t,can not
couldn’t,could not
could’ve,could have
c’mon,come on
don’t,do not
doesn’t,does not
didn’t,did not
do’ya,do you
don’,do not
d’ye,do you
d’y’all,do you all
d’y,do you
she’s,she is
she’ll,she will
she’d,she would
*she’s,she has
*she’d,she had
he’s,he is
he’ll,he will
he’d,he would
*he’s,he has
*he’d,he had
how’s,how is
how’re,how are
how’ll,how will
how’d,how would
*how’s,how has
*how’d,how had
haven’t,have not
hasn’t,has not
hadn’t,had not
i’m,i am
i’ll,i will
i’d,i would
*’d,i had
it’d,it would
*it’d,it had
it’ll,it will
isn’t,is not
it’s,it is
*it’s,it has
i’ve,i have
they’re,they are
they’r,they are
they’ll,they will
they’d,they would
they’ve,they have
*they’d,they had
that’s,that is
that’ll,that will
that’d,that would
*that’s,that has
*that’d,that had
y’all,you all
ya’,you
you’re,you are
you’ll,you will
you’d,you would
*you’d,you had
you’ve,you have
wasn’t,was not
we’d,we would
*we’d,we had
weren’t,were not
we’ll,we will
we’re,we are
we’ve,we have
would’ve,would have
who’s,who is
*who’s,who has
who’ll,who will
who’d,who would
*who’d,who had
what’s,what is
what’re,what are
what’ll,what will
what’d,what would
*what’s,what has
*what’d,what had
where’s,where is
*where’s,where has
where’ll,where will
where’d,where would
*where’d,where had
where’re,where are
where’ve,where have
when’s,when is
*when’s,when has
when’ll,when will
when’d,when would
*when’d,when had
why’s,why is
why’ll,why will
why’d,why would
*why’s,why has
*why’d,why had
won’t,will not
wouldn’t,would not
mightn’t,might not
mustn’t,must not
should’ve,should have
shouldn’t,should not
might’ve,might have
must’ve,must have
yeah,yes
o’clock,of the clock
ma’am,madam
ne’er-do-well,never-do-well
y’know,you know
there’s,there is
there’d,there would
there’ll,there will
here’s,here is
let’s,let us
in’,ing
’cause, because
‘cause, because
’bout, about
‘bout, about
’ll, will
’d, would
o’,of
’em, them
‘em, them
‘tis,it is
’s,
